18-07-05 17:59:34 element.py{funcName:openurl}[line:35] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-05 17:59:36 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:37 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:37 element.py{funcName:css}[line:105] INFO Css 元素定位：.login-button
18-07-05 17:59:37 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-05 17:59:38 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第2次寻找
18-07-05 17:59:38 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第3次寻找
18-07-05 17:59:39 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第4次寻找
18-07-05 17:59:39 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第5次寻找
18-07-05 17:59:40 element.py{funcName:openurl}[line:35] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-05 17:59:40 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:40 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:40 element.py{funcName:css}[line:105] INFO Css 元素定位：.login-button
18-07-05 17:59:40 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-05 17:59:41 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第2次寻找
18-07-05 17:59:41 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第3次寻找
18-07-05 17:59:42 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第4次寻找
18-07-05 17:59:42 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第5次寻找
18-07-05 17:59:43 element.py{funcName:openurl}[line:35] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-05 17:59:43 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:43 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:43 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:43 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:43 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:44 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:44 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:44 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:44 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:44 element.py{funcName:css}[line:105] INFO Css 元素定位：.login-button
18-07-05 17:59:44 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-05 17:59:45 element.py{funcName:openurl}[line:35] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-05 17:59:45 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：password
